2025-09-16 14:33:48,621 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17714 on 2025-07-24 16:45:00 (SL: 1.17664, TP: 1.17814)
2025-09-16 14:33:48,622 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9902.50
2025-09-16 14:33:48,638 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17629 on 2025-07-24 21:00:00 (SL: 1.17679, TP: 1.17529)
2025-09-16 14:33:48,644 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -5.30, New Balance: 9897.20
2025-09-16 14:33:48,645 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17662 on 2025-07-24 22:30:00 (SL: 1.17612, TP: 1.17762)
2025-09-16 14:33:48,647 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9890.20
2025-09-16 14:33:48,648 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.1758 on 2025-07-24 23:00:00 (SL: 1.17630, TP: 1.17480)
2025-09-16 14:33:48,651 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9898.20
2025-09-16 14:33:48,667 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17539 on 2025-07-25 03:45:00 (SL: 1.17489, TP: 1.17639)
2025-09-16 14:33:48,669 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9891.20
2025-09-16 14:33:48,674 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17418 on 2025-07-25 05:15:00 (SL: 1.17468, TP: 1.17318)
2025-09-16 14:33:48,689 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9884.20
2025-09-16 14:33:48,704 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17344 on 2025-07-25 12:45:00 (SL: 1.17394, TP: 1.17244)
2025-09-16 14:33:48,708 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9892.20
2025-09-16 14:33:48,727 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17278 on 2025-07-25 18:30:00 (SL: 1.17228, TP: 1.17378)
2025-09-16 14:33:48,737 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9900.20
2025-09-16 14:33:48,771 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17544 on 2025-07-28 05:45:00 (SL: 1.17594, TP: 1.17444)
2025-09-16 14:33:48,780 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9908.20
2025-09-16 14:33:48,848 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.15896 on 2025-07-29 02:15:00 (SL: 1.15846, TP: 1.15996)
2025-09-16 14:33:48,854 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9901.20
2025-09-16 14:33:48,857 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.15956 on 2025-07-29 04:30:00 (SL: 1.16006, TP: 1.15856)
2025-09-16 14:33:48,859 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 3.10, New Balance: 9904.30
2025-09-16 14:33:48,859 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.15905 on 2025-07-29 04:45:00 (SL: 1.15855, TP: 1.16005)
2025-09-16 14:33:48,862 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 5.00, New Balance: 9909.30
2025-09-16 14:33:48,862 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.15975 on 2025-07-29 05:15:00 (SL: 1.16025, TP: 1.15875)
2025-09-16 14:33:48,864 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -1.00, New Balance: 9908.30
2025-09-16 14:33:48,864 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.15965 on 2025-07-29 05:45:00 (SL: 1.15915, TP: 1.16065)
